timestamp,Fire_rune,Water_rune,Air_rune,Earth_rune,Mind_rune,Body_rune,Death_rune,Nature_rune,Chaos_rune,Law_rune,Cosmic_rune,Blood_rune,Soul_rune
1591228800000,5,5,5,5,3,5,208,221,100,178,130,376,147
1591315200000,5,5,5,5,4,5,207,220,98,179,131,372,147
1591401600000,5,5,5,5,4,5,204,218,95,174,131,367,147
1591488000000,5,5,5,5,4,4,204,216,91,169,138,365,147
1591574400000,5,4,5,4,3,5,203,217,89,166,143,367,146
1591660800000,5,5,5,4,3,5,202,217,88,166,142,367,148
1591747200000,5,5,5,5,4,4,202,218,87,166,139,369,147
1591833600000,5,5,5,5,3,4,202,218,85,168,133,372,147
1591920000000,5,5,5,5,3,4,200,217,83,172,131,373,147
1592006400000,5,5,5,5,3,4,199,215,81,170,135,373,147
1592092800000,6,5,5,5,3,5,198,214,79,167,138,373,146
1592179200000,5,4,5,4,3,4,201,214,76,164,140,373,147
1592265600000,5,4,5,5,4,4,202,214,74,162,136,374,147
1592352000000,5,5,5,5,4,5,202,216,73,162,134,376,147
1592438400000,5,4,5,5,4,4,202,214,73,162,132,376,147
1592524800000,5,5,5,5,4,4,203,210,73,160,133,376,147
1592611200000,5,5,5,5,4,5,203,205,74,156,135,376,147
1592697600000,5,5,5,5,4,4,203,200,75,148,136,377,147
1592784000000,5,5,5,5,4,4,205,202,75,145,135,379,146
1592870400000,5,5,5,5,4,4,206,203,75,143,130,378,142
